bin	n	pos_rate
(-0.001, 0.05]	459179	0.00130014656593616
(0.05, 0.1]	3196	0.08072590738423029
(0.1, 0.15]	1409	0.14052519517388218
(0.15, 0.2]	911	0.24259055982436883
(0.2, 0.25]	648	0.28858024691358025
(0.25, 0.3]	539	0.3042671614100185
(0.3, 0.35]	469	0.3859275053304904
(0.35, 0.4]	367	0.4114441416893733
(0.4, 0.45]	353	0.46175637393767704
(0.45, 0.5]	288	0.5520833333333334
(0.5, 0.55]	316	0.5474683544303798
(0.55, 0.6]	308	0.6136363636363636
(0.6, 0.65]	403	0.6650124069478908
(0.65, 0.7]	352	0.7784090909090909
(0.7, 0.75]	663	0.7903469079939668
(0.75, 0.8]	361	0.7811634349030471
(0.8, 0.85]	423	0.8250591016548463
(0.85, 0.9]	758	0.8693931398416886
(0.9, 0.95]	1346	0.9101040118870728
(0.95, 1.0]	27711	0.988740933203421
